,,,,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,QtyActual,LineTotal W/ CRV & ST 
,,,,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,Total,Total
Class,InventoryNum,Description,InventoryPackageNum,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,Total,Total
Beverages,BEV01195,LaCroix Orange 24/12 oz,CASE,,,,,1,16,7,10,5,8,1,,11,10,9,14,9,1,10,8,10,3,8,11,,,,,$13.66 ,$218.56 ,$95.62 ,$142.53 ,$72.53 ,$116.05 ,$14.51 ,,$159.57 ,$145.06 ,$132.26 ,$221.23 ,$143.39 ,$15.93 ,$159.33 ,$127.47 ,$159.33 ,$47.79 ,$127.46 ,$175.26 ,152,"$2,287.55 "
Beverages,BEV01116,Stumptown Cold Brew Nitro Kegs (N2 & Kegorator rentals included),KEG,7,5,7,6,10,8,6,8,6,10,7,3,4,5,5,5,6,5,5,6,5,10,7,5,"$1,272.74 ",$909.10 ,"$1,272.74 ","$1,090.92 ","$1,840.92 ","$1,500.00 ","$1,125.00 ","$1,500.00 ","$1,125.00 ","$1,875.00 ","$1,312.50 ",$562.50 ,$750.00 ,$937.50 ,$937.50 ,$987.50 ,"$1,200.00 ","$1,000.00 ","$1,000.00 ","$1,200.00 ","$1,000.00 ","$2,000.00 ","$1,400.00 ","$1,000.00 ",151,"$28,798.92 "
Beverages,BEV01450,Coca Cola Coke 5 Gal BIB,EACH,2,,2,2,,,3,,,,,,,,,,2,,7,6,1,4,6,1,$215.91 ,,$215.91 ,$215.91 ,,,$333.99 ,,,,,,,,,,$264.97 ,,$927.38 ,$822.45 ,$132.48 ,$529.93 ,$794.90 ,$132.48 ,36,"$4,586.31 "
Beverages,BEV01451,Coca Cola Coke Zero Sugar 2.5 Gal BIB,EACH,2,,2,2,,,2,,,,,,,,1,1,3,2,3,6,4,3,6,,$112.58 ,,$112.58 ,$112.58 ,,,$116.10 ,,,,,,,,$71.78 ,$76.57 ,$229.69 ,$153.14 ,$229.69 ,$419.91 ,$306.26 ,$229.71 ,$459.40 ,,37,"$2,629.99 "
Beverages,BEV01651,Barq's Root Beer 2.5 Gal BIB,BAG,,,,,,,,,,,,,,,,,2,2,1,3,2,1,6,,,,,,,,,,,,,,,,,,$153.14 ,$153.14 ,$76.57 ,$229.69 ,$153.14 ,$76.57 ,$459.39 ,,17,"$1,301.63 "
Beverages,BEV00410,Vitamin Water Zero Power C 24/20 oz,CASE,36,29,41,35,43,47,34,44,40,40,35,27,33,32,40,51,48,46,12,18,7,2,4,2,"$1,366.51 ","$1,100.81 ","$1,556.30 ","$1,328.57 ","$1,649.44 ","$1,838.00 ","$1,329.62 ","$1,720.68 ","$1,564.29 ","$1,564.27 ","$1,368.72 ","$1,055.88 ","$1,290.52 ","$1,251.40 ","$1,585.49 ","$2,165.19 ","$2,062.38 ","$1,976.44 ",$515.60 ,$773.39 ,$300.77 ,$85.94 ,$171.87 ,$85.93 ,746,"$29,708.01 "
Beverages,BEV01655,Powerade Mountain Berry Blast 2.5 Gal BIB,BAG,,,,,,,,,,,,,,,,1,1,,3,,2,,4,,,,,,,,,,,,,,,,,$76.57 ,$76.57 ,,$229.71 ,,$153.14 ,,$306.25 ,,11,$842.23 
Beverages,BEV01659,Diet Coke 5 Gal BIB,BAG,,,,,,,,,,,,,,,,1,1,1,3,1,4,2,4,,,,,,,,,,,,,,,,,$143.74 ,$143.74 ,$143.74 ,$431.23 ,$88.16 ,$574.99 ,$287.48 ,$574.97 ,,17,"$2,388.05 "
Beverages,BEV00612,Coca Cola Mexican Coke 24/12 oz,CASE,19,14,19,15,18,21,15,20,15,19,18,11,15,15,18,21,27,23,18,16,16,19,3,,$571.43 ,$421.06 ,$571.44 ,$451.14 ,$548.50 ,$650.32 ,$464.50 ,$619.34 ,$464.50 ,$588.37 ,$557.41 ,$340.65 ,$464.53 ,$464.52 ,$567.65 ,$716.27 ,$931.58 ,$793.57 ,$632.32 ,$582.09 ,$582.08 ,$691.22 ,$109.14 ,,395,"$12,783.63 "
Beverages,BEV01650,Coca Cola Cherry Coke 5 Gal BIB,BAG,,,,,,,,,,,,,,,,,2,1,3,2,5,,3,,,,,,,,,,,,,,,,,,$287.49 ,$143.74 ,$431.22 ,$287.48 ,$718.71 ,,$431.23 ,,16,"$2,299.89 "
Beverages,BEV01654,Minute Maid Light Lemonade 2.5 Gal BIB,BAG,,,,,,,,,,,,,,,,,1,,1,,1,,3,,,,,,,,,,,,,,,,,,$83.60 ,,$83.60 ,,$83.60 ,,$250.80 ,,6,$501.60 
Beverages,BEV01660,Sprite 5 Gal BIB,BAG,,,,,,,,,,,,,,,,2,1,,3,1,2,1,3,,,,,,,,,,,,,,,,,$287.48 ,$143.74 ,,$431.23 ,$143.74 ,$287.48 ,$143.74 ,$431.22 ,,13,"$1,868.64 "
Beverages,BEV01505,Jittery John's Nitro 5 gal,KEG,,,,,,,,,,,1,2,2,2,2,,2,,2,3,2,3,2,3,,,,,,,,,,,$168.75 ,$337.50 ,$265.62 ,$265.62 ,$265.62 ,,$283.34 ,,$283.34 ,$425.01 ,$283.33 ,$425.00 ,$283.34 ,$425.01 ,26,"$3,711.48 "
Beverages,BEV01656,Gold Peak Sweet Black Tea 2.5 Gal BIB,BAG,,,,,,,,,,,,,,,,1,1,,2,1,1,,2,,,,,,,,,,,,,,,,,$76.57 ,$76.57 ,,$153.14 ,$76.57 ,$76.57 ,,$153.13 ,,8,$612.54 
Beverages,BEV00341,Teas Tea Pure Green 12/16.9 oz,CASE,,,,,,,6,18,14,8,14,9,10,12,9,13,12,16,17,22,2,1,1,1,,,,,,,$130.92 ,$392.76 ,$305.48 ,$174.56 ,$305.48 ,$196.38 ,$218.20 ,$261.84 ,$203.67 ,$310.36 ,$289.20 ,$385.60 ,$409.70 ,$530.20 ,$48.20 ,$24.10 ,$24.10 ,$24.10 ,185,"$4,234.85 "
Beverages,BEV00342,Teas Tea Green Jasmine 12/16.9 oz,CASE,,,,,,,8,19,19,13,13,9,9,12,11,15,18,17,19,22,2,1,1,1,,,,,,,$174.56 ,$414.58 ,$414.58 ,$283.66 ,$283.66 ,$196.38 ,$196.38 ,$261.84 ,$248.12 ,$357.09 ,$433.80 ,$409.70 ,$457.90 ,$530.20 ,$48.20 ,$24.10 ,$24.10 ,$24.10 ,209,"$4,782.95 "
Beverages,BEV00343,Teas Tea Golden Oolong 12/16.9 oz,CASE,,,,,,,9,19,16,13,16,12,12,12,15,11,16,16,14,20,2,1,1,1,,,,,,,$196.38 ,$414.58 ,$349.12 ,$283.66 ,$349.12 ,$261.84 ,$261.84 ,$261.84 ,$338.64 ,$262.16 ,$385.60 ,$385.60 ,$337.40 ,$482.00 ,$48.20 ,$24.10 ,$24.10 ,$24.10 ,206,"$4,690.28 "
Beverages,BEV00408,Vitamin Water Zero Rise 24/20 oz,CASE,,,,,,,,,,,,,,,,,,,20,24,9,3,1,1,,,,,,,,,,,,,,,,,,,$859.34 ,"$1,031.19 ",$386.71 ,$128.90 ,$42.97 ,$42.97 ,58,"$2,492.08 "
Beverages,BEV01649,Fanta Orange 2.5 Gal BIB,BAG,,,,,,,,,,,,,,,,,2,,2,2,2,1,1,,,,,,,,,,,,,,,,,,$153.13 ,,$153.13 ,$74.14 ,$153.14 ,$76.57 ,$76.57 ,,10,$686.66 
Beverages,BEV01652,Fuze Unsweet Tea 2.5 Gal BIB,BAG,,,,,,,,,,,,,,,,,1,,2,,1,1,1,,,,,,,,,,,,,,,,,,$76.57 ,,$153.14 ,,$76.57 ,$76.57 ,$76.57 ,,6,$459.41 
Beverages,BEV01653,Minute Maid Lemonade 2.5 Gal BIB,BAG,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,$4.80 ,,,$83.60 ,,2,$88.40 
Beverages,BEV01657,Hi C Pink Lemonade 2.5 Gal BIB,BAG,,,,,,,,,,,,,,,,,,,2,,2,,1,,,,,,,,,,,,,,,,,,,,$153.14 ,,$153.14 ,,$76.57 ,,5,$382.84 
Beverages,BEV01658,Hi C Fruit Punch 2.5 Gal BIB,BAG,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,$76.57 ,$76.57 ,$76.57 ,,$76.57 ,,$76.57 ,,5,$382.84 
Beverages,BEV07011,Runa Clean Energy Berry ORG 12/12 oz,CASE,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,$107.09 ,$35.70 ,,4,$142.79 
Beverages,BEV07014,Bevi Pineapple Unsweetened 1 Gal BIB,EACH,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,$150.00 ,,1,$150.00 
Beverages,BEV00089,Vita Coco Natural 12/11.2 oz,CASE,,,,,,,12,34,22,27,25,19,22,22,23,22,22,18,17,23,3,1,,,,,,,,,$280.80 ,$795.60 ,$514.80 ,$631.80 ,$585.00 ,$444.60 ,$514.75 ,$514.74 ,$543.10 ,$546.69 ,$555.94 ,$454.86 ,$429.59 ,$581.21 ,$75.81 ,$25.27 ,,,312,"$7,494.56 "
Beverages,BEV00120,Alo Exposed Original 12/16.9 oz,CASE,,,6,,8,,1,,,,,,,,,,,,,,,,,,,,$130.15 ,,$176.16 ,,$22.35 ,,,,,,,,,,,,,,,,,,15,$328.66 
Beverages,BEV00191,Rockstar Double Strength Lo Carb 24/16 oz,CASE,5,2,6,3,2,,1,1,1,2,1,,1,,1,3,1,2,1,1,,,,,$271.11 ,$110.97 ,$332.92 ,$166.46 ,$110.97 ,,$57.18 ,$57.18 ,$57.18 ,$114.36 ,$57.18 ,,$57.18 ,,$57.18 ,$178.98 ,$60.90 ,$121.80 ,$60.90 ,$60.90 ,,,,,34,"$1,933.36 "
Beverages,BEV00192,Gatorade Fruit Punch 24/20 oz,CASE,,,,,,,1,2,1,3,2,1,1,2,1,,3,2,8,1,1,,,,,,,,,,$28.47 ,$56.94 ,$28.47 ,$85.41 ,$56.94 ,$28.47 ,$28.47 ,$57.62 ,$28.47 ,,$90.84 ,$60.56 ,$242.26 ,$30.28 ,$30.28 ,,,,29,$853.48 
Beverages,BEV00193,Gatorade Cool Blue 24/20 oz,CASE,,,,,,,2,3,3,3,2,1,1,2,2,3,3,2,2,2,,,,,,,,,,,$56.94 ,$85.41 ,$85.41 ,$85.41 ,$56.94 ,$28.47 ,$28.47 ,$57.62 ,$56.94 ,$90.84 ,$90.84 ,$60.56 ,$60.56 ,$60.56 ,,,,,31,$904.97 
Beverages,BEV00195,Gatorade Lemon Lime 24/20 oz,CASE,,,,,,,1,3,2,4,2,2,1,3,1,3,1,1,2,3,,,,,,,,,,,$28.47 ,$85.41 ,$56.94 ,$113.88 ,$56.94 ,$56.94 ,$28.47 ,$86.09 ,$28.47 ,$89.03 ,$30.28 ,$30.28 ,$60.56 ,$90.84 ,,,,,29,$842.60 
Beverages,BEV00266,Evolution Orange Grapefruit Juice 64 oz,EACH,,7,,1,,,,,,,,,,,,,,,,,,,,,,$48.58 ,,$6.94 ,,,,,,,,,,,,,,,,,,,,,8,$55.52 
Beverages,BEV00310,Ito En Oi Ocha Green Tea 12/16.9 oz,CASE,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,$43.64 ,,,,,,,,,,,,,,,2,$43.64 
Beverages,BEV00311,Ito En Jasmine Green Unsweetened 12/16.9 oz,CASE,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,$21.82 ,,$21.82 ,,,,,,,,,,,,,,,2,$43.64 
Beverages,BEV00413,Vitamin Water Defense 24/20 oz,CASE,,,,,,,,,,,,,,,,,,,8,3,4,,,,,,,,,,,,,,,,,,,,,,$343.73 ,$128.90 ,$171.87 ,,,,15,$644.50 
Beverages,BEV00425,Tejava Unsweetened 24/12 oz,CASE,,,,,,,4,7,3,6,5,3,4,4,4,6,3,5,4,,,,,,,,,,,,$72.32 ,$126.56 ,$54.24 ,$108.48 ,$90.40 ,$54.24 ,$85.58 ,$90.00 ,$85.22 ,$142.10 ,$71.76 ,$119.60 ,$95.68 ,,,,,,58,"$1,196.18 "
Beverages,BEV00573,Q Drinks Spectacular Ginger Ale 4/12 oz,PACK,102,66,78,72,66,18,,,,,,,,,,,,,,,,,,,$764.39 ,$494.59 ,$584.51 ,$539.56 ,$498.07 ,$138.37 ,,,,,,,,,,,,,,,,,,,402,"$3,019.49 "
Beverages,BEV00600,Diet 7up 24/12 oz Can,CASE,7,7,7,4,6,6,9,10,8,4,6,4,5,4,7,10,8,6,5,3,,,,,$97.52 ,$97.52 ,$97.51 ,$55.71 ,$84.36 ,$85.93 ,$128.90 ,$143.22 ,$114.58 ,$57.29 ,$85.93 ,$57.29 ,$73.40 ,$58.72 ,$103.60 ,$155.20 ,$125.60 ,$94.20 ,$78.50 ,$47.10 ,,,,,126,"$1,842.07 "
Beverages,BEV00667,LaCroix Coconut 24/12 oz,CASE,,,,,1,17,9,4,7,,,,4,,3,3,10,12,13,34,14,2,,,,,,,$13.66 ,$232.22 ,$122.94 ,$55.49 ,$101.55 ,,,,$58.03 ,,$43.93 ,$45.71 ,$155.32 ,$186.38 ,$201.92 ,$528.09 ,$217.45 ,$31.07 ,,,133,"$1,993.76 "
Beverages,BEV00722,Crystal Geyser Spring Water 24/16.9 oz,CASE,6,6,5,,,4,,4,,,,,,,8,7,,5,,,,,,,$51.84 ,$51.84 ,$44.13 ,,,$35.49 ,,$35.48 ,,,,,,,$61.35 ,$56.70 ,,$40.50 ,,,,,,,45,$377.33 
Beverages,BEV01179,LaCroix Curate Cherry Lime 3/8/12 oz,CASE,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,$98.43 ,$16.41 ,,,,,,,,,,,,,,,,,,7,$114.84 
Beverages,BEV01180,LaCroix Curate Apple Berry 3/8/12 oz,CASE,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,$90.72 ,$15.12 ,,,,,,,,,,,,,,,,,,7,$105.84 
Beverages,BEV01204,Airgas Liquid Nitrogen 10 lb (Red),EACH,3,,,2,3,,3,,,,,,1,2,2,1,,,2,,,2,,,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,,,$0.00 ,,,21,$0.00 
Beverages,BEV01495,Bevi Blueberry Cucumber 3 Gal BIB,EACH,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,$150.00 ,,,1,$150.00 
Beverages,BEV01499,Bevi Raspberry Unsweetened 1 Gal BIB (High Capacity),EACH,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,$316.67 ,,,1,$316.67 
Beverages,BEV01503,Bevi Lemon Lime 1 Gal BIB (High Capacity),EACH,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,$316.67 ,,,1,$316.67 
Beverages,BEV01506,Jittery John's Espresso 5 gal,KEG,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,$337.50 ,,,,,,,,,,,,,,2,$337.50 
Beverages,BEV01582,WTRMLN WTR 12/8OZ,CASE,,,,,66,148,113,120,84,113,119,84,126,112,103,87,128,25,,,,,,,,,,,"$1,889.08 ","$4,251.34 ","$3,245.93 ","$3,447.00 ","$2,412.90 ","$3,245.94 ","$3,418.28 ","$2,412.90 ","$3,619.35 ","$3,217.21 ","$2,958.71 ","$2,626.58 ","$3,916.80 ",$765.00 ,,,,,,,"1,428","$41,427.02 "
Beverages,BEV01677,Coca Cola Soda Zero Sugar 35/12 oz - ALT SKU,CASE,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,$49.73 ,,,,,,,,2,$49.73 
Beverages,BEV01681,Bevi Watermelon Unsweetened 1 Gal BIB,EACH,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,$150.00 ,,,1,$150.00 
Cereal,CER00018,Kashi Cereal Org Blueberry Cluster 13.4 oz,BOX,27,22,16,12,17,23,13,10,19,10,9,11,71,88,80,116,100,124,107,120,82,100,91,60,$142.39 ,$116.00 ,$84.37 ,$63.29 ,$90.65 ,$125.10 ,$70.71 ,$54.40 ,$103.35 ,$54.40 ,$48.96 ,$59.84 ,$386.12 ,$478.55 ,$436.93 ,$685.14 ,$600.31 ,$744.38 ,$642.33 ,$720.37 ,$492.26 ,$600.32 ,$546.31 ,$360.20 ,"1,328","$7,706.68 "
Cereal,CER00005,Barbara's Bakery Puffins Peanut Butter 11 oz,BOX,,,,,,,,,,,,,,,,,,,,,,,69,22,,,,,,,,,,,,,,,,,,,,,,,$389.37 ,$124.14 ,91,$513.51 
Cereal,CER00118,Nature's Path Homestyle Oatmeal Gluten Free 11.3 oz,BOX,60,42,54,54,54,58,6,,,,,,,,,,,9,50,52,47,57,43,48,$290.90 ,$203.63 ,$261.81 ,$261.81 ,$265.45 ,$290.00 ,$30.00 ,,,,,,,,,,,$48.00 ,$266.67 ,$277.34 ,$252.27 ,$319.20 ,$240.80 ,$269.05 ,634,"$3,276.93 "
Cereal,CER00026,Kashi Cinnamon Harvest 16.3 oz,BOX,,,7,13,10,18,15,10,18,11,18,16,21,19,22,25,37,32,16,25,31,24,32,6,,,$37.87 ,$70.33 ,$55.46 ,$100.44 ,$83.67 ,$55.80 ,$100.43 ,$61.38 ,$100.44 ,$89.28 ,$117.16 ,$105.99 ,$122.72 ,$153.76 ,$233.40 ,$201.86 ,$100.92 ,$157.70 ,$195.55 ,$151.39 ,$201.86 ,$37.85 ,426,"$2,535.26 "
Cereal,CER00062,Post Honey Bunches Of Oats With Almonds 48 oz,BOX,,,,,,,,,,,,,,,,,,,,,,,23,15,,,,,,,,,,,,,,,,,,,,,,,$292.87 ,$202.26 ,38,$495.13 
Cereal,CER00233,Nature's Path Flax Plus Vanilla Almond Pc LRG,PC LRG,18,16,18,15,14,18,14,11,12,15,11,8,11,18,23,29,20,18,18,18,15,20,20,11,$499.14 ,$443.68 ,$499.14 ,$415.95 ,$393.38 ,$514.62 ,$400.26 ,$314.49 ,$343.08 ,$428.85 ,$314.49 ,$228.72 ,$314.51 ,$514.68 ,$657.66 ,$867.35 ,$610.00 ,$549.00 ,$549.00 ,$549.00 ,$457.50 ,$610.00 ,$610.00 ,$357.68 ,391,"$11,442.18 "
Cereal,CER00259,Kelloggs Raisin Bran Pc LRG,PC LRG,18,14,18,16,12,16,13,14,16,15,14,11,17,19,21,19,18,14,12,14,14,17,16,10,$397.62 ,$309.26 ,$397.62 ,$353.44 ,$268.53 ,$364.48 ,$296.14 ,$318.92 ,$364.48 ,$341.70 ,$318.92 ,$250.58 ,$387.26 ,$432.82 ,$478.38 ,$454.10 ,$437.40 ,$340.20 ,$291.60 ,$340.20 ,$340.20 ,$413.10 ,$388.80 ,$247.06 ,368,"$8,532.81 "
Cereal,CER00063,General Mills Cheerios 40.7 oz,BOX,14,10,13,12,12,11,8,14,9,9,10,5,10,10,12,11,10,15,16,21,12,13,11,6,$149.52 ,$106.80 ,$138.84 ,$128.16 ,$130.20 ,$121.22 ,$88.16 ,$154.28 ,$99.17 ,$99.18 ,$110.19 ,$55.10 ,$110.16 ,$110.18 ,$132.20 ,$127.78 ,$117.50 ,$176.25 ,$188.00 ,$246.75 ,$141.00 ,$152.75 ,$129.25 ,$74.90 ,274,"$3,087.54 "
Cereal,CER00450,Gr8nola Pc MED,PC MED,,,,,,,,,1,,,,,,,5,4,6,4,5,4,7,7,5,,,,,,,,,$32.81 ,,,,,,,$175.00 ,$140.00 ,$210.00 ,$140.00 ,$175.00 ,$140.00 ,$245.00 ,$245.00 ,$259.40 ,48,"$1,762.21 "
Cereal,CER00106,Nature's Path Variety Pack 14 oz,BOX,,,,,,,18,6,18,,25,24,12,13,27,17,5,18,,2,,,6,,,,,,,,$75.39 ,$25.13 ,$75.39 ,,$104.69 ,$100.50 ,$50.25 ,$54.46 ,$113.13 ,$76.37 ,$22.55 ,$81.16 ,,$9.02 ,,,$27.05 ,,191,$815.09 
Cereal,CER00205,Kashi Golean Crunch Pc LRG,PC LRG,5,7,8,6,8,7,8,9,7,9,8,5,8,4,3,7,8,6,7,8,6,6,5,2,$102.75 ,$143.85 ,$164.40 ,$123.30 ,$166.31 ,$148.33 ,$169.52 ,$190.71 ,$148.33 ,$190.71 ,$169.52 ,$105.95 ,$169.52 ,$84.76 ,$63.56 ,$155.38 ,$180.80 ,$135.60 ,$158.20 ,$180.80 ,$135.60 ,$135.60 ,$113.00 ,$47.86 ,157,"$3,384.36 "
Cereal,CER00050,Kelloggs Frosted Flakes 40 oz,BAG,,,,,,,,,,,,,,,,,,,,26,18,16,,,,,,,,,,,,,,,,,,,,,,$490.98 ,$339.87 ,$302.12 ,,,60,"$1,132.97 "
Cereal,CER00120,Nature's Path Flax Plus Vanilla Almond 11.5 oz,BOX,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,$4.77 ,,,$4.77 ,,,,,,,,,,,,,,,,2,$9.54 
Cereal,CER00208,Kashi H2h Blueberry Cluster Pc LRG,PC LRG,20,17,22,21,19,20,24,23,22,24,22,17,7,,,,,,,,,,,,$421.80 ,$358.53 ,$463.98 ,$442.89 ,$406.65 ,$435.00 ,$522.00 ,$500.25 ,$478.50 ,$522.00 ,$478.50 ,$369.75 ,$152.25 ,,,,,,,,,,,,258,"$5,552.10 "
Cereal,CER00354,Cascadian Farm Granola Maple Brown Sugar Pc LRG,PC LRG,6,5,10,6,7,8,7,9,6,5,7,4,7,2,,,,,,,,,,,$178.74 ,$148.95 ,$297.90 ,$178.74 ,$210.39 ,$245.76 ,$215.04 ,$276.48 ,$184.32 ,$153.60 ,$215.04 ,$122.88 ,$215.04 ,$61.44 ,,,,,,,,,,,89,"$2,704.32 "
Cereal,CER00384,Kelloggs Raisin Bran Pc MED,PC MED,1,,,,1,,,,,,,,1,,,,,,1,1,1,2,,,$11.05 ,,,,$11.39 ,,,,,,,,$11.39 ,,,,,,$12.15 ,$12.15 ,$12.15 ,$24.30 ,,,8,$94.58 
Cereal,CER00387,Kashi Cinnamon Harvest Pc LRG,PC LRG,14,6,5,4,1,,1,5,,4,2,2,,,,,,,,,,,,,$227.21 ,$97.38 ,$81.15 ,$64.92 ,$16.23 ,,$16.73 ,$83.65 ,,$66.92 ,$33.46 ,$33.46 ,,,,,,,,,,,,,44,$721.11 
Cereal,CER00437,Purely Elizabeth Original Granola Pc SML,PC SML,1,1,3,3,,,,,,,,,,,,,,,,,,,,,$19.80 ,$19.80 ,$59.40 ,$59.40 ,,,,,,,,,,,,,,,,,,,,,8,$158.40 
Cereal,CER00477,Kelloggs Froot Loops 21.4 oz,BOX,,,,,,,,,,,,,,36,23,29,14,,,,,,,,,,,,,,,,,,,,,$381.94 ,$244.03 ,$321.83 ,$158.44 ,,,,,,,,102,"$1,106.24 "
Cereal,CER00535,General Mills Cocoa Puffs 35 oz,BAG,,,,,,,,,,,,,,,,,,,,23,20,16,,,,,,,,,,,,,,,,,,,,,,$438.36 ,$381.19 ,$304.95 ,,,59,"$1,124.50 "
Coffee & Tea,COF00248,Philz Tesora Whole Bean 1 lb,BAG,,,,,,,,,,,,,,,,,,,,,20,140,100,60,,,,,,,,,,,,,,,,,,,,,$283.33 ,"$1,983.31 ","$1,416.65 ",$849.99 ,320,"$4,533.28 "
Coffee & Tea,COF00249,Philz Jacobs Wonderbar Whole Bean 1 lb,BAG,,,,,,,,,,,,,,,,,,,,,,136,100,80,,,,,,,,,,,,,,,,,,,,,,"$1,926.66 ","$1,416.66 ","$1,133.33 ",316,"$4,476.65 "
Coffee & Tea,COF00009,Peets Coffee Decaf French Roast Ground 1 lb,BAG,6,2,,,,,,,,,24,,,,24,26,4,,,36,40,18,36,,$89.45 ,$29.82 ,,,,,,,,,$369.00 ,,,,$369.00 ,$426.40 ,$65.60 ,,,$590.40 ,$656.00 ,$295.20 ,$590.40 ,,216,"$3,481.27 "
Coffee & Tea,COF00234,Peets Coffee Decaf House Blend WB 1 lb,BAG,18,9,13,20,18,12,10,6,10,15,19,11,9,12,21,6,36,34,,30,20,40,20,56,$268.36 ,$134.19 ,$193.83 ,$298.20 ,$270.71 ,$184.53 ,$153.77 ,$92.27 ,$153.75 ,$230.63 ,$292.14 ,$169.13 ,$140.63 ,$187.51 ,$328.15 ,$100.00 ,$600.00 ,$566.67 ,,$500.00 ,$333.33 ,$666.66 ,$333.33 ,$933.33 ,445,"$7,131.12 "
Coffee & Tea,COF00518,Big House Beans Game Changer Espresso WB 5 LB,BAG,,,,,,,,,6,7,10,11,8,3,8,10,10,13,7,17,10,13,12,17,,,,,,,,,$457.03 ,$533.19 ,$761.70 ,$837.87 ,$609.36 ,$228.51 ,$609.37 ,$807.42 ,$812.50 ,"$1,056.25 ",$568.75 ,"$1,381.25 ",$812.50 ,"$1,056.25 ",$975.00 ,"$1,381.25 ",162,"$12,888.20 "
Coffee & Tea,COF00455,Five Mountain Tea Individ Wrap Bags Jasmine Petal 100 ct,BOX,,,,,,,,,,,,,,,,,,,,,,8,6,7,,,,,,,,,,,,,,,,,,,,,,$373.36 ,$280.02 ,$326.69 ,21,$980.07 
Coffee & Tea,COF00458,Five Mountain Tea Individ Wrap Bags Grand Crimson 100 ct,BOX,,,,,,,,,,,,,,,,,,,,,,6,6,4,,,,,,,,,,,,,,,,,,,,,,$280.02 ,$280.02 ,$186.68 ,16,$746.72 
Coffee & Tea,COF00462,Five Mountain Tea Individ Wrap Bags Pacific Peppermint 100 ct,BOX,,,,,,,,,,,,,,,,,,,,,,6,6,5,,,,,,,,,,,,,,,,,,,,,,$280.02 ,$280.02 ,$233.35 ,17,$793.39 
Coffee & Tea,COF00456,Five Mountain Tea Individ Wrap Bags Genmaicha Toasted Rice 100 ct,BOX,,,,,,,,,,,,,,,,,,,,,,8,5,4,,,,,,,,,,,,,,,,,,,,,,$373.36 ,$233.35 ,$186.68 ,17,$793.39 
Coffee & Tea,COF00457,Five Mountain Tea Individ Wrap Bags Nile Valley Chamomile 100 ct,BOX,,,,,,,,,,,,,,,,,,,,,,6,5,4,,,,,,,,,,,,,,,,,,,,,,$280.02 ,$233.35 ,$186.68 ,15,$700.05 
