,,,,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,QtyActual,LineTotal W/ CRV & ST 
,,,,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,Total,Total
Class,InventoryNum,Description,InventoryPackageNum,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,Total,Total
Beverages,BEV01112,Tejava Unsweetened 33.8 oz,BOTTLE,96,48,84,72,108,120,61,120,96,108,84,60,96,60,84,84,144,120,85,133,132,108,108,96,$154.16 ,$77.08 ,$134.89 ,$115.63 ,$240.06 ,$270.80 ,$137.66 ,$270.80 ,$216.63 ,$243.72 ,$189.56 ,$135.40 ,$216.64 ,$135.40 ,$192.37 ,$216.78 ,$376.80 ,$314.00 ,$222.42 ,$348.02 ,$345.40 ,$282.60 ,$282.60 ,$251.20 ,"2,307","$5,370.62 "
Beverages,BEV00270,Odwalla Orange Juice 59 oz,EACH,107,100,96,80,84,85,68,62,53,68,60,34,89,69,78,65,67,81,65,65,56,84,57,47,$967.28 ,$903.99 ,$867.84 ,$723.20 ,$768.04 ,$792.20 ,$633.76 ,$577.84 ,$493.66 ,$633.75 ,$559.20 ,$316.88 ,$829.46 ,$643.08 ,$726.95 ,$636.39 ,$665.38 ,$804.48 ,$645.61 ,$645.62 ,$556.22 ,$834.37 ,$566.14 ,$466.87 ,"1,720","$16,258.21 "
Beverages,BEV00409,Vitamin Water Zero Squeezed 24/20 oz,CASE,46,36,51,43,61,66,46,51,43,41,36,35,42,40,47,64,57,57,34,39,46,51,46,22,"$1,746.07 ","$1,366.51 ","$1,935.86 ","$1,632.22 ","$2,341.85 ","$2,581.05 ","$1,798.91 ","$1,994.42 ","$1,681.60 ","$1,603.40 ","$1,407.82 ","$1,368.71 ","$1,642.45 ","$1,564.23 ","$1,857.98 ","$2,718.56 ","$2,449.08 ","$2,449.09 ","$1,460.88 ","$1,675.69 ","$1,976.47 ","$2,191.27 ","$1,976.43 ",$945.25 ,"1,100","$44,365.80 "
Beverages,BEV00663,LaCroix Pure 24/12 oz,CASE,,,,,1,12,11,10,8,13,13,16,19,27,32,27,31,37,23,42,36,41,41,22,,,,,$13.66 ,$163.92 ,$150.26 ,$141.69 ,$116.05 ,$188.58 ,$188.58 ,$232.10 ,$275.62 ,$391.67 ,$468.15 ,$413.14 ,$481.49 ,$574.68 ,$357.25 ,$652.36 ,$559.14 ,$636.82 ,$636.84 ,$341.72 ,462,"$6,983.74 "
Beverages,BEV01082,Teas Tea Green 67.5 oz,EACH,24,24,30,48,36,30,40,42,30,38,36,30,36,30,42,42,24,26,48,48,42,55,39,30,$116.36 ,$116.36 ,$145.45 ,$232.72 ,$179.07 ,$151.50 ,$202.00 ,$212.10 ,$151.50 ,$191.90 ,$181.80 ,$151.50 ,$181.80 ,$151.50 ,$212.10 ,$232.77 ,$134.20 ,$145.38 ,$268.40 ,$268.40 ,$234.85 ,$307.54 ,$218.07 ,$167.75 ,870,"$4,555.02 "
Beverages,BEV01083,Teas Tea Jasmine 67.5 oz,EACH,42,45,72,48,53,36,43,42,27,24,37,30,24,42,24,36,18,25,48,49,55,56,39,30,$203.63 ,$218.18 ,$349.09 ,$232.72 ,$263.10 ,$181.80 ,$217.15 ,$212.10 ,$136.35 ,$121.20 ,$186.85 ,$151.50 ,$121.20 ,$212.10 ,$121.20 ,$195.06 ,$100.65 ,$139.79 ,$268.40 ,$273.99 ,$307.54 ,$313.13 ,$218.07 ,$167.75 ,945,"$4,912.55 "
Beverages,BEV01616,Coca Cola Coke Can 12/12 Oz,CASE,,,,,,,,,16,29,26,22,27,21,29,34,24,26,23,27,24,38,37,27,,,,,,,,,$140.96 ,$255.52 ,$225.81 ,$179.50 ,$220.32 ,$171.34 ,$244.80 ,$319.12 ,$226.81 ,$245.71 ,$217.36 ,$255.16 ,$227.56 ,$366.26 ,$356.65 ,$260.26 ,430,"$3,913.15 "
Beverages,BEV01206,Simply Lemonade 59 oz,EACH,52,24,34,26,32,31,45,28,40,33,34,34,74,80,74,59,35,46,34,27,25,38,34,22,$175.32 ,$80.88 ,$114.59 ,$87.66 ,$109.19 ,$107.82 ,$156.53 ,$97.43 ,$138.32 ,$114.74 ,$118.24 ,$118.18 ,$257.29 ,$278.18 ,$257.30 ,$212.26 ,$129.50 ,$170.20 ,$126.00 ,$105.30 ,$97.50 ,$148.20 ,$132.60 ,$85.80 ,961,"$3,419.03 "
Beverages,BEV01609,Coca Cola Coke Zero Sugar 12/12 oz,CASE,,,,,,,,34,34,40,30,25,33,25,31,42,14,28,23,27,24,30,34,25,,,,,,,,$277.48 ,$277.48 ,$326.41 ,$244.79 ,$204.01 ,$269.30 ,$204.01 ,$260.36 ,$394.72 ,$132.31 ,$264.61 ,$217.36 ,$255.16 ,$227.36 ,$289.12 ,$327.70 ,$240.99 ,499,"$4,413.17 "
Beverages,BEV00665,LaCroix Grapefruit 24/12 oz,CASE,,,,,1,30,27,33,34,29,23,22,19,19,35,37,39,31,28,26,31,20,31,20,,,,,$13.66 ,$409.80 ,$368.82 ,$473.64 ,$493.22 ,$420.69 ,$333.65 ,$319.14 ,$275.62 ,$275.62 ,$511.96 ,$543.49 ,$605.75 ,$481.49 ,$434.90 ,$403.83 ,$481.49 ,$310.67 ,$481.50 ,$310.64 ,535,"$7,949.58 "
Beverages,BEV00660,LaCroix Berry 24/12 oz,CASE,,,,,15,6,12,14,15,19,18,22,26,21,13,20,35,29,29,25,20,24,30,19,,,,,$203.80 ,$81.96 ,$163.92 ,$199.71 ,$217.60 ,$275.62 ,$261.12 ,$319.14 ,$377.17 ,$304.64 ,$190.35 ,$383.44 ,$543.62 ,$450.43 ,$450.43 ,$388.30 ,$310.64 ,$372.78 ,$465.99 ,$295.11 ,412,"$6,255.75 "
Beverages,BEV00419,Vitamin Water XXX 24/20 oz,CASE,41,21,33,26,35,36,29,36,32,34,26,23,28,29,44,39,43,40,17,32,22,27,28,12,"$1,556.28 ",$797.15 ,"$1,252.66 ",$986.94 ,"$1,340.05 ","$1,407.84 ","$1,134.11 ","$1,407.85 ","$1,251.42 ","$1,329.64 ","$1,016.78 ",$899.45 ,"$1,095.00 ","$1,134.08 ","$1,748.18 ","$1,654.80 ","$1,847.55 ","$1,718.63 ",$730.44 ,"$1,374.92 ",$945.27 ,"$1,160.10 ","$1,203.05 ",$515.59 ,733,"$29,507.78 "
